Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,73.879997,74.730003,73.250000,74.260002,74.260002,5277200
2018-09-11,74.879997,79.540001,74.660004,79.500000,79.500000,14053600
2018-09-12,79.699997,81.489998,78.800003,80.519997,80.519997,8838000
2018-09-13,80.589996,81.400002,79.830002,80.430000,80.430000,6031400
2018-09-14,80.500000,82.029999,80.430000,81.269997,81.269997,6022400
2018-09-17,81.489998,81.879997,78.660004,78.879997,78.879997,6304900
2018-09-18,78.820000,80.379997,78.820000,79.629997,79.629997,4943100
2018-09-19,79.930000,80.129997,78.519997,79.580002,79.580002,3882300
2018-09-20,79.910004,81.040001,79.349998,80.650002,80.650002,4388900
2018-09-21,81.330002,81.330002,80.250000,80.290001,80.290001,11180100
2018-09-24,79.699997,80.690002,79.349998,80.599998,80.599998,6092500
2018-09-25,80.919998,81.260002,79.870003,80.529999,80.529999,6031700
2018-09-26,81.110001,82.459999,81.019997,81.570000,81.570000,6408700
2018-09-27,81.940002,83.230003,81.919998,82.870003,82.870003,5867700
2018-09-28,82.760002,83.750000,82.739998,83.190002,83.190002,6724300
2018-10-01,84.180000,84.680000,82.309998,83.279999,83.279999,6221100
2018-10-02,83.019997,83.750000,82.199997,83.389999,83.389999,5374800
2018-10-03,83.820000,83.930000,82.519997,83.019997,83.019997,4570300
2018-10-04,82.500000,82.680000,79.830002,80.360001,80.360001,7509500
2018-10-05,80.250000,81.000000,78.660004,79.589996,79.589996,5281200
2018-10-08,79.019997,79.250000,76.540001,76.709999,76.709999,2525282
